Starting Location,Starting Altitude(ft),Starting Velocity(fps),Starting Elapsed Time(s),Starting Thrust Points,Move Type,Move Direction,Ending Location,Ending Altitude(ft),Ending Velocity(fps),Ending Elapsed Time(s),Ending Thrust Points
AA10,200.0,100.0,0.0,500.0,MAX-ACCELERATE,E,AB10,200.0,140.0,1.4285714285714286,498.0
AB10,200.0,140.0,1.4285714285714286,498.0,MAX-ACCELERATE,N,AB9,200.0,180.0,2.5396825396825395,496.0
AB9,200.0,180.0,2.5396825396825395,496.0,CLIMB,N,AB8,220.0,200.0,3.5396825396825395,494.0
AB8,220.0,200.0,3.5396825396825395,494.0,STEEP-CLIMB,N,AB7,260.0,200.0,4.5396825396825395,492.0
AB7,260.0,200.0,4.5396825396825395,492.0,GLIDE,N,AB6,240.0,195.0,5.565323565323565,492.0
AB6,240.0,195.0,5.565323565323565,492.0,GLIDE,N,AB5,220.0,190.0,6.617955144270933,492.0
AB5,220.0,190.0,6.617955144270933,492.0,GLIDE-CRUISE,N,AB4,210.0,185.0,7.699036225352014,491.5
AB4,210.0,185.0,7.699036225352014,491.5,GLIDE-CRUISE,N,AB3,200.0,180.0,8.810147336463125,491.0
AB3,200.0,180.0,8.810147336463125,491.0,CLIMB,W,AA3,220.0,200.0,9.810147336463125,489.0
AA3,220.0,200.0,9.810147336463125,489.0,STEEP-CLIMB,W,Z3,260.0,200.0,10.810147336463125,487.0
Z3,260.0,200.0,10.810147336463125,487.0,GLIDE,W,Y3,240.0,195.0,11.83578836210415,487.0
Y3,240.0,195.0,11.83578836210415,487.0,GLIDE,W,X3,220.0,190.0,12.888419941051518,487.0
X3,220.0,190.0,12.888419941051518,487.0,GLIDE-CRUISE,W,W3,210.0,185.0,13.969501022132599,486.5
W3,210.0,185.0,13.969501022132599,486.5,GLIDE-CRUISE,W,V3,200.0,180.0,15.08061213324371,486.0
V3,200.0,180.0,15.08061213324371,486.0,CLIMB,W,U3,220.0,200.0,16.08061213324371,484.0
U3,220.0,200.0,16.08061213324371,484.0,STEEP-CLIMB,W,T3,260.0,200.0,17.08061213324371,482.0
T3,260.0,200.0,17.08061213324371,482.0,GLIDE,W,S3,240.0,195.0,18.106253158884737,482.0
S3,240.0,195.0,18.106253158884737,482.0,GLIDE,W,R3,220.0,190.0,19.158884737832107,482.0
R3,220.0,190.0,19.158884737832107,482.0,GLIDE-CRUISE,W,Q3,210.0,185.0,20.239965818913188,481.5
Q3,210.0,185.0,20.239965818913188,481.5,GLIDE-CRUISE,W,P3,200.0,180.0,21.3510769300243,481.0
P3,200.0,180.0,21.3510769300243,481.0,CLIMB,W,O3,220.0,200.0,22.3510769300243,479.0
O3,220.0,200.0,22.3510769300243,479.0,STEEP-CLIMB,W,N3,260.0,200.0,23.3510769300243,477.0
N3,260.0,200.0,23.3510769300243,477.0,GLIDE,W,M3,240.0,195.0,24.376717955665324,477.0
M3,240.0,195.0,24.376717955665324,477.0,GLIDE,W,L3,220.0,190.0,25.429349534612694,477.0
L3,220.0,190.0,25.429349534612694,477.0,GLIDE-CRUISE,W,K3,210.0,185.0,26.510430615693775,476.5
K3,210.0,185.0,26.510430615693775,476.5,GLIDE-CRUISE,W,J3,200.0,180.0,27.621541726804885,476.0
J3,200.0,180.0,27.621541726804885,476.0,CLIMB,W,I3,220.0,200.0,28.621541726804885,474.0
I3,220.0,200.0,28.621541726804885,474.0,STEEP-CLIMB,W,H3,260.0,200.0,29.621541726804885,472.0
H3,260.0,200.0,29.621541726804885,472.0,GLIDE,W,G3,240.0,195.0,30.64718275244591,472.0
G3,240.0,195.0,30.64718275244591,472.0,GLIDE,W,F3,220.0,190.0,31.69981433139328,472.0
F3,220.0,190.0,31.69981433139328,472.0,GLIDE-CRUISE,W,E3,210.0,185.0,32.780895412474365,471.5
E3,210.0,185.0,32.780895412474365,471.5,GLIDE-CRUISE,W,D3,200.0,180.0,33.89200652358548,471.0
D3,200.0,180.0,33.89200652358548,471.0,CLIMB,W,C3,220.0,200.0,34.89200652358548,469.0
C3,220.0,200.0,34.89200652358548,469.0,STEEP-CLIMB,W,B3,260.0,200.0,35.89200652358548,467.0
B3,260.0,200.0,35.89200652358548,467.0,GLIDE,S,B4,240.0,195.0,36.9176475492265,467.0
B4,240.0,195.0,36.9176475492265,467.0,GLIDE,E,C4,220.0,190.0,37.97027912817387,467.0
C4,220.0,190.0,37.97027912817387,467.0,GLIDE-CRUISE,E,D4,210.0,185.0,39.05136020925495,466.5
D4,210.0,185.0,39.05136020925495,466.5,GLIDE-CRUISE,E,E4,200.0,180.0,40.162471320366066,466.0
E4,200.0,180.0,40.162471320366066,466.0,CLIMB,E,F4,220.0,200.0,41.162471320366066,464.0
F4,220.0,200.0,41.162471320366066,464.0,STEEP-CLIMB,E,G4,260.0,200.0,42.162471320366066,462.0
G4,260.0,200.0,42.162471320366066,462.0,GLIDE,E,H4,240.0,195.0,43.18811234600709,462.0
H4,240.0,195.0,43.18811234600709,462.0,GLIDE,E,I4,220.0,190.0,44.24074392495446,462.0
I4,220.0,190.0,44.24074392495446,462.0,GLIDE-CRUISE,E,J4,210.0,185.0,45.32182500603554,461.5
J4,210.0,185.0,45.32182500603554,461.5,GLIDE-CRUISE,E,K4,200.0,180.0,46.43293611714665,461.0
K4,200.0,180.0,46.43293611714665,461.0,CLIMB,E,L4,220.0,200.0,47.43293611714665,459.0
L4,220.0,200.0,47.43293611714665,459.0,STEEP-CLIMB,E,M4,260.0,200.0,48.43293611714665,457.0
M4,260.0,200.0,48.43293611714665,457.0,GLIDE,E,N4,240.0,195.0,49.458577142787675,457.0
N4,240.0,195.0,49.458577142787675,457.0,GLIDE,E,O4,220.0,190.0,50.511208721735045,457.0
O4,220.0,190.0,50.511208721735045,457.0,GLIDE-CRUISE,E,P4,210.0,185.0,51.592289802816126,456.5
P4,210.0,185.0,51.592289802816126,456.5,GLIDE-CRUISE,E,Q4,200.0,180.0,52.70340091392724,456.0
Q4,200.0,180.0,52.70340091392724,456.0,CLIMB,E,R4,220.0,200.0,53.70340091392724,454.0
R4,220.0,200.0,53.70340091392724,454.0,STEEP-CLIMB,E,S4,260.0,200.0,54.70340091392724,452.0
S4,260.0,200.0,54.70340091392724,452.0,GLIDE,E,T4,240.0,195.0,55.72904193956826,452.0
T4,240.0,195.0,55.72904193956826,452.0,GLIDE,E,U4,220.0,190.0,56.78167351851563,452.0
U4,220.0,190.0,56.78167351851563,452.0,GLIDE-CRUISE,E,V4,210.0,185.0,57.86275459959671,451.5
V4,210.0,185.0,57.86275459959671,451.5,GLIDE-CRUISE,E,W4,200.0,180.0,58.97386571070783,451.0
W4,200.0,180.0,58.97386571070783,451.0,CLIMB,E,X4,220.0,200.0,59.97386571070783,449.0
X4,220.0,200.0,59.97386571070783,449.0,STEEP-CLIMB,E,Y4,260.0,200.0,60.97386571070783,447.0
Y4,260.0,200.0,60.97386571070783,447.0,GLIDE,E,Z4,240.0,195.0,61.99950673634885,447.0
Z4,240.0,195.0,61.99950673634885,447.0,GLIDE,E,AA4,220.0,190.0,63.05213831529622,447.0
AA4,220.0,190.0,63.05213831529622,447.0,GLIDE-CRUISE,S,AA5,210.0,185.0,64.1332193963773,446.5
AA5,210.0,185.0,64.1332193963773,446.5,GLIDE-CRUISE,W,Z5,200.0,180.0,65.24433050748841,446.0
Z5,200.0,180.0,65.24433050748841,446.0,CLIMB,W,Y5,220.0,200.0,66.24433050748841,444.0
Y5,220.0,200.0,66.24433050748841,444.0,STEEP-CLIMB,W,X5,260.0,200.0,67.24433050748841,442.0
X5,260.0,200.0,67.24433050748841,442.0,GLIDE,W,W5,240.0,195.0,68.26997153312944,442.0
W5,240.0,195.0,68.26997153312944,442.0,GLIDE,W,V5,220.0,190.0,69.3226031120768,442.0
V5,220.0,190.0,69.3226031120768,442.0,GLIDE-CRUISE,W,U5,210.0,185.0,70.40368419315789,441.5
U5,210.0,185.0,70.40368419315789,441.5,GLIDE-CRUISE,W,T5,200.0,180.0,71.514795304269,441.0
T5,200.0,180.0,71.514795304269,441.0,CLIMB,W,S5,220.0,200.0,72.514795304269,439.0
S5,220.0,200.0,72.514795304269,439.0,STEEP-CLIMB,W,R5,260.0,200.0,73.514795304269,437.0
R5,260.0,200.0,73.514795304269,437.0,GLIDE,W,Q5,240.0,195.0,74.54043632991002,437.0
Q5,240.0,195.0,74.54043632991002,437.0,GLIDE,W,P5,220.0,190.0,75.59306790885739,437.0
P5,220.0,190.0,75.59306790885739,437.0,GLIDE-CRUISE,W,O5,210.0,185.0,76.67414898993847,436.5
O5,210.0,185.0,76.67414898993847,436.5,GLIDE-CRUISE,W,N5,200.0,180.0,77.78526010104959,436.0
N5,200.0,180.0,77.78526010104959,436.0,CLIMB,W,M5,220.0,200.0,78.78526010104959,434.0
M5,220.0,200.0,78.78526010104959,434.0,STEEP-CLIMB,W,L5,260.0,200.0,79.78526010104959,432.0
L5,260.0,200.0,79.78526010104959,432.0,GLIDE,W,K5,240.0,195.0,80.81090112669061,432.0
K5,240.0,195.0,80.81090112669061,432.0,GLIDE,W,J5,220.0,190.0,81.86353270563798,432.0
J5,220.0,190.0,81.86353270563798,432.0,GLIDE-CRUISE,W,I5,210.0,185.0,82.94461378671906,431.5
I5,210.0,185.0,82.94461378671906,431.5,GLIDE-CRUISE,W,H5,200.0,180.0,84.05572489783017,431.0
