Starting Location,Starting Altitude(ft),Starting Velocity(fps),Starting Elapsed Time(s),Starting Thrust Points,Move Type,Move Direction,Ending Location,Ending Altitude(ft),Ending Velocity(fps),Ending Elapsed Time(s),Ending Thrust Points
AA10,200.0,100.0,0.0,500.0,MAX-ACCELERATE,E,AB10,200.0,140.0,1.4285714285714286,498.0
AB10,200.0,140.0,1.4285714285714286,498.0,CLIMB,N,AB9,220.0,160.0,2.678571428571429,496.0
AB9,220.0,160.0,2.678571428571429,496.0,GLIDE,N,AB8,200.0,155.0,3.96889400921659,496.0
AB8,200.0,155.0,3.96889400921659,496.0,ACCELERATE,N,AB7,200.0,175.0,5.111751152073733,494.5
AB7,200.0,175.0,5.111751152073733,494.5,CLIMB,N,AB6,220.0,195.0,6.137392177714759,492.5
AB6,220.0,195.0,6.137392177714759,492.5,STEEP-CLIMB,N,AB5,260.0,195.0,7.163033203355784,490.5
AB5,260.0,195.0,7.163033203355784,490.5,GLIDE,N,AB4,240.0,190.0,8.215664782303152,490.5
AB4,240.0,190.0,8.215664782303152,490.5,GLIDE,N,AB3,220.0,185.0,9.296745863384233,490.5
AB3,220.0,185.0,9.296745863384233,490.5,GLIDE-CRUISE,W,AA3,210.0,180.0,10.407856974495344,490.0
AA3,210.0,180.0,10.407856974495344,490.0,GLIDE-CRUISE,W,Z3,200.0,175.0,11.550714117352486,489.5
Z3,200.0,175.0,11.550714117352486,489.5,CLIMB,W,Y3,220.0,195.0,12.576355142993512,487.5
Y3,220.0,195.0,12.576355142993512,487.5,STEEP-CLIMB,W,X3,260.0,195.0,13.601996168634537,485.5
X3,260.0,195.0,13.601996168634537,485.5,GLIDE,W,W3,240.0,190.0,14.654627747581905,485.5
W3,240.0,190.0,14.654627747581905,485.5,GLIDE,W,V3,220.0,185.0,15.735708828662986,485.5
V3,220.0,185.0,15.735708828662986,485.5,GLIDE-CRUISE,W,U3,210.0,180.0,16.846819939774097,485.0
U3,210.0,180.0,16.846819939774097,485.0,GLIDE-CRUISE,W,T3,200.0,175.0,17.98967708263124,484.5
T3,200.0,175.0,17.98967708263124,484.5,CLIMB,W,S3,220.0,195.0,19.015318108272265,482.5
S3,220.0,195.0,19.015318108272265,482.5,STEEP-CLIMB,W,R3,260.0,195.0,20.04095913391329,480.5
R3,260.0,195.0,20.04095913391329,480.5,GLIDE,W,Q3,240.0,190.0,21.09359071286066,480.5
Q3,240.0,190.0,21.09359071286066,480.5,GLIDE,W,P3,220.0,185.0,22.17467179394174,480.5
