Starting Location,Starting Altitude(ft),Starting Velocity(fps),Starting Elapsed Time(s),Starting Thrust Points,Move Type,Move Direction,Ending Location,Ending Altitude(ft),Ending Velocity(fps),Ending Elapsed Time(s),Ending Thrust Points
AA10,200.0,100.0,0.0,500.0,MAX-ACCELERATE,E,AB10,200.0,140.0,1.4285714285714286,498.0
AB10,200.0,140.0,1.4285714285714286,498.0,MAX-ACCELERATE,N,AB9,200.0,180.0,2.5396825396825395,496.0
AB9,200.0,180.0,2.5396825396825395,496.0,ACCELERATE,N,AB8,200.0,200.0,3.5396825396825395,494.5
AB8,200.0,200.0,3.5396825396825395,494.5,CRUISE,N,AB7,200.0,200.0,4.5396825396825395,493.5
AB7,200.0,200.0,4.5396825396825395,493.5,CRUISE,N,AB6,200.0,200.0,5.5396825396825395,492.5
AB6,200.0,200.0,5.5396825396825395,492.5,CRUISE,N,AB5,200.0,200.0,6.5396825396825395,491.5
AB5,200.0,200.0,6.5396825396825395,491.5,CRUISE,N,AB4,200.0,200.0,7.5396825396825395,490.5
AB4,200.0,200.0,7.5396825396825395,490.5,CRUISE,N,AB3,200.0,200.0,8.53968253968254,489.5
AB3,200.0,200.0,8.53968253968254,489.5,CRUISE,W,AA3,200.0,200.0,9.53968253968254,488.5
AA3,200.0,200.0,9.53968253968254,488.5,CRUISE,W,Z3,200.0,200.0,10.53968253968254,487.5
Z3,200.0,200.0,10.53968253968254,487.5,CRUISE,W,Y3,200.0,200.0,11.53968253968254,486.5
Y3,200.0,200.0,11.53968253968254,486.5,CRUISE,W,X3,200.0,200.0,12.53968253968254,485.5
X3,200.0,200.0,12.53968253968254,485.5,CRUISE,W,W3,200.0,200.0,13.53968253968254,484.5
W3,200.0,200.0,13.53968253968254,484.5,CRUISE,W,V3,200.0,200.0,14.53968253968254,483.5
V3,200.0,200.0,14.53968253968254,483.5,CRUISE,W,U3,200.0,200.0,15.53968253968254,482.5
U3,200.0,200.0,15.53968253968254,482.5,CRUISE,W,T3,200.0,200.0,16.539682539682538,481.5
T3,200.0,200.0,16.539682539682538,481.5,CRUISE,W,S3,200.0,200.0,17.539682539682538,480.5
S3,200.0,200.0,17.539682539682538,480.5,CRUISE,W,R3,200.0,200.0,18.539682539682538,479.5
R3,200.0,200.0,18.539682539682538,479.5,CRUISE,W,Q3,200.0,200.0,19.539682539682538,478.5
Q3,200.0,200.0,19.539682539682538,478.5,CRUISE,W,P3,200.0,200.0,20.539682539682538,477.5
P3,200.0,200.0,20.539682539682538,477.5,CRUISE,W,O3,200.0,200.0,21.539682539682538,476.5
O3,200.0,200.0,21.539682539682538,476.5,CRUISE,W,N3,200.0,200.0,22.539682539682538,475.5
N3,200.0,200.0,22.539682539682538,475.5,CRUISE,W,M3,200.0,200.0,23.539682539682538,474.5
M3,200.0,200.0,23.539682539682538,474.5,CRUISE,W,L3,200.0,200.0,24.539682539682538,473.5
L3,200.0,200.0,24.539682539682538,473.5,CRUISE,W,K3,200.0,200.0,25.539682539682538,472.5
K3,200.0,200.0,25.539682539682538,472.5,CRUISE,W,J3,200.0,200.0,26.539682539682538,471.5
J3,200.0,200.0,26.539682539682538,471.5,CRUISE,W,I3,200.0,200.0,27.539682539682538,470.5
I3,200.0,200.0,27.539682539682538,470.5,CRUISE,W,H3,200.0,200.0,28.539682539682538,469.5
H3,200.0,200.0,28.539682539682538,469.5,CRUISE,W,G3,200.0,200.0,29.539682539682538,468.5
G3,200.0,200.0,29.539682539682538,468.5,CRUISE,W,F3,200.0,200.0,30.539682539682538,467.5
F3,200.0,200.0,30.539682539682538,467.5,CRUISE,W,E3,200.0,200.0,31.539682539682538,466.5
E3,200.0,200.0,31.539682539682538,466.5,CRUISE,W,D3,200.0,200.0,32.53968253968254,465.5
D3,200.0,200.0,32.53968253968254,465.5,CRUISE,W,C3,200.0,200.0,33.53968253968254,464.5
C3,200.0,200.0,33.53968253968254,464.5,CRUISE,W,B3,200.0,200.0,34.53968253968254,463.5
B3,200.0,200.0,34.53968253968254,463.5,CRUISE,S,B4,200.0,200.0,35.53968253968254,462.5
B4,200.0,200.0,35.53968253968254,462.5,CRUISE,E,C4,200.0,200.0,36.53968253968254,461.5
C4,200.0,200.0,36.53968253968254,461.5,CRUISE,E,D4,200.0,200.0,37.53968253968254,460.5
D4,200.0,200.0,37.53968253968254,460.5,CRUISE,E,E4,200.0,200.0,38.53968253968254,459.5
E4,200.0,200.0,38.53968253968254,459.5,CRUISE,E,F4,200.0,200.0,39.53968253968254,458.5
F4,200.0,200.0,39.53968253968254,458.5,CRUISE,E,G4,200.0,200.0,40.53968253968254,457.5
G4,200.0,200.0,40.53968253968254,457.5,CRUISE,E,H4,200.0,200.0,41.53968253968254,456.5
H4,200.0,200.0,41.53968253968254,456.5,CRUISE,E,I4,200.0,200.0,42.53968253968254,455.5
I4,200.0,200.0,42.53968253968254,455.5,CRUISE,E,J4,200.0,200.0,43.53968253968254,454.5
J4,200.0,200.0,43.53968253968254,454.5,CRUISE,E,K4,200.0,200.0,44.53968253968254,453.5
K4,200.0,200.0,44.53968253968254,453.5,CRUISE,E,L4,200.0,200.0,45.53968253968254,452.5
L4,200.0,200.0,45.53968253968254,452.5,CRUISE,E,M4,200.0,200.0,46.53968253968254,451.5
M4,200.0,200.0,46.53968253968254,451.5,CRUISE,E,N4,200.0,200.0,47.53968253968254,450.5
N4,200.0,200.0,47.53968253968254,450.5,CRUISE,E,O4,200.0,200.0,48.53968253968254,449.5
O4,200.0,200.0,48.53968253968254,449.5,CRUISE,E,P4,200.0,200.0,49.53968253968254,448.5
P4,200.0,200.0,49.53968253968254,448.5,CRUISE,E,Q4,200.0,200.0,50.53968253968254,447.5
Q4,200.0,200.0,50.53968253968254,447.5,CRUISE,E,R4,200.0,200.0,51.53968253968254,446.5
R4,200.0,200.0,51.53968253968254,446.5,CRUISE,E,S4,200.0,200.0,52.53968253968254,445.5
S4,200.0,200.0,52.53968253968254,445.5,CRUISE,E,T4,200.0,200.0,53.53968253968254,444.5
T4,200.0,200.0,53.53968253968254,444.5,CRUISE,E,U4,200.0,200.0,54.53968253968254,443.5
U4,200.0,200.0,54.53968253968254,443.5,CRUISE,E,V4,200.0,200.0,55.53968253968254,442.5
V4,200.0,200.0,55.53968253968254,442.5,CRUISE,E,W4,200.0,200.0,56.53968253968254,441.5
W4,200.0,200.0,56.53968253968254,441.5,CRUISE,E,X4,200.0,200.0,57.53968253968254,440.5
X4,200.0,200.0,57.53968253968254,440.5,CRUISE,E,Y4,200.0,200.0,58.53968253968254,439.5
Y4,200.0,200.0,58.53968253968254,439.5,CRUISE,E,Z4,200.0,200.0,59.53968253968254,438.5
Z4,200.0,200.0,59.53968253968254,438.5,CRUISE,E,AA4,200.0,200.0,60.53968253968254,437.5
AA4,200.0,200.0,60.53968253968254,437.5,CRUISE,S,AA5,200.0,200.0,61.53968253968254,436.5
AA5,200.0,200.0,61.53968253968254,436.5,CRUISE,W,Z5,200.0,200.0,62.53968253968254,435.5
Z5,200.0,200.0,62.53968253968254,435.5,CRUISE,W,Y5,200.0,200.0,63.53968253968254,434.5
Y5,200.0,200.0,63.53968253968254,434.5,CRUISE,W,X5,200.0,200.0,64.53968253968253,433.5
X5,200.0,200.0,64.53968253968253,433.5,CRUISE,W,W5,200.0,200.0,65.53968253968253,432.5
W5,200.0,200.0,65.53968253968253,432.5,CRUISE,W,V5,200.0,200.0,66.53968253968253,431.5
V5,200.0,200.0,66.53968253968253,431.5,CRUISE,W,U5,200.0,200.0,67.53968253968253,430.5
U5,200.0,200.0,67.53968253968253,430.5,CRUISE,W,T5,200.0,200.0,68.53968253968253,429.5
T5,200.0,200.0,68.53968253968253,429.5,CRUISE,W,S5,200.0,200.0,69.53968253968253,428.5
S5,200.0,200.0,69.53968253968253,428.5,CRUISE,W,R5,200.0,200.0,70.53968253968253,427.5
R5,200.0,200.0,70.53968253968253,427.5,CRUISE,W,Q5,200.0,200.0,71.53968253968253,426.5
Q5,200.0,200.0,71.53968253968253,426.5,CRUISE,W,P5,200.0,200.0,72.53968253968253,425.5
P5,200.0,200.0,72.53968253968253,425.5,CRUISE,W,O5,200.0,200.0,73.53968253968253,424.5
O5,200.0,200.0,73.53968253968253,424.5,CRUISE,W,N5,200.0,200.0,74.53968253968253,423.5
N5,200.0,200.0,74.53968253968253,423.5,CRUISE,W,M5,200.0,200.0,75.53968253968253,422.5
M5,200.0,200.0,75.53968253968253,422.5,CRUISE,W,L5,200.0,200.0,76.53968253968253,421.5
L5,200.0,200.0,76.53968253968253,421.5,CRUISE,W,K5,200.0,200.0,77.53968253968253,420.5
K5,200.0,200.0,77.53968253968253,420.5,CRUISE,W,J5,200.0,200.0,78.53968253968253,419.5
J5,200.0,200.0,78.53968253968253,419.5,CRUISE,W,I5,200.0,200.0,79.53968253968253,418.5
I5,200.0,200.0,79.53968253968253,418.5,CRUISE,W,H5,200.0,200.0,80.53968253968253,417.5
H5,200.0,200.0,80.53968253968253,417.5,CRUISE,W,G5,200.0,200.0,81.53968253968253,416.5
G5,200.0,200.0,81.53968253968253,416.5,CRUISE,W,F5,200.0,200.0,82.53968253968253,415.5
F5,200.0,200.0,82.53968253968253,415.5,CRUISE,W,E5,200.0,200.0,83.53968253968253,414.5
E5,200.0,200.0,83.53968253968253,414.5,CRUISE,W,D5,200.0,200.0,84.53968253968253,413.5
