Starting Location,Starting Altitude(ft),Starting Velocity(fps),Starting Elapsed Time(s),Starting Thrust Points,Move Type,Move Direction,Ending Location,Ending Altitude(ft),Ending Velocity(fps),Ending Elapsed Time(s),Ending Thrust Points
AA10,200.0,100.0,0.0,500.0,MAX-ACCELERATE,E,AB10,200.0,140.0,1.4285714285714286,498.0
AB10,200.0,140.0,1.4285714285714286,498.0,CLIMB,N,AB9,220.0,160.0,2.678571428571429,496.0
AB9,220.0,160.0,2.678571428571429,496.0,GLIDE,N,AB8,200.0,155.0,3.96889400921659,496.0
AB8,200.0,155.0,3.96889400921659,496.0,MAX-ACCELERATE,N,AB7,200.0,195.0,4.994535034857615,494.0
AB7,200.0,195.0,4.994535034857615,494.0,CRUISE,N,AB6,200.0,195.0,6.020176060498641,493.0
AB6,200.0,195.0,6.020176060498641,493.0,CRUISE,N,AB5,200.0,195.0,7.0458170861396665,492.0
AB5,200.0,195.0,7.0458170861396665,492.0,CRUISE,N,AB4,200.0,195.0,8.071458111780693,491.0
AB4,200.0,195.0,8.071458111780693,491.0,CRUISE,N,AB3,200.0,195.0,9.097099137421718,490.0
AB3,200.0,195.0,9.097099137421718,490.0,CRUISE,W,AA3,200.0,195.0,10.122740163062744,489.0
AA3,200.0,195.0,10.122740163062744,489.0,CRUISE,W,Z3,200.0,195.0,11.14838118870377,488.0
Z3,200.0,195.0,11.14838118870377,488.0,CRUISE,W,Y3,200.0,195.0,12.174022214344795,487.0
Y3,200.0,195.0,12.174022214344795,487.0,CRUISE,W,X3,200.0,195.0,13.19966323998582,486.0
X3,200.0,195.0,13.19966323998582,486.0,CRUISE,W,W3,200.0,195.0,14.225304265626846,485.0
W3,200.0,195.0,14.225304265626846,485.0,CRUISE,W,V3,200.0,195.0,15.250945291267872,484.0
V3,200.0,195.0,15.250945291267872,484.0,CRUISE,W,U3,200.0,195.0,16.276586316908897,483.0
U3,200.0,195.0,16.276586316908897,483.0,CRUISE,W,T3,200.0,195.0,17.302227342549923,482.0
T3,200.0,195.0,17.302227342549923,482.0,CRUISE,W,S3,200.0,195.0,18.32786836819095,481.0
S3,200.0,195.0,18.32786836819095,481.0,CRUISE,W,R3,200.0,195.0,19.353509393831974,480.0
R3,200.0,195.0,19.353509393831974,480.0,CRUISE,W,Q3,200.0,195.0,20.379150419473,479.0
Q3,200.0,195.0,20.379150419473,479.0,CRUISE,W,P3,200.0,195.0,21.404791445114025,478.0
