Starting Location,Starting Altitude(ft),Starting Velocity(fps),Starting Elapsed Time(s),Starting Thrust Points,Move Type,Move Direction,Ending Location,Ending Altitude(ft),Ending Velocity(fps),Ending Elapsed Time(s),Ending Thrust Points
AA10,200.0,100.0,0.0,500.0,STEEP-CLIMB,E,AB10,240.0,100.0,2.0,498.0
AB10,240.0,100.0,2.0,498.0,GLIDE,N,AB9,220.0,95.0,4.105263157894736,498.0
AB9,220.0,95.0,4.105263157894736,498.0,GLIDE,N,AB8,200.0,90.0,6.327485380116959,498.0
AB8,200.0,90.0,6.327485380116959,498.0,STEEP-CLIMB,N,AB7,240.0,90.0,8.549707602339181,496.0
AB7,240.0,90.0,8.549707602339181,496.0,GLIDE,N,AB6,220.0,85.0,10.90264877880977,496.0
AB6,220.0,85.0,10.90264877880977,496.0,GLIDE,N,AB5,200.0,80.0,13.40264877880977,496.0
AB5,200.0,80.0,13.40264877880977,496.0,STEEP-CLIMB,N,AB4,240.0,80.0,15.90264877880977,494.0
AB4,240.0,80.0,15.90264877880977,494.0,GLIDE,N,AB3,220.0,75.0,18.569315445476438,494.0
AB3,220.0,75.0,18.569315445476438,494.0,GLIDE,W,AA3,200.0,70.0,21.426458302619295,494.0
AA3,200.0,70.0,21.426458302619295,494.0,CLIMB,W,Z3,220.0,90.0,23.648680524841517,492.0
Z3,220.0,90.0,23.648680524841517,492.0,STEEP-CLIMB,W,Y3,260.0,90.0,25.870902747063738,490.0
Y3,260.0,90.0,25.870902747063738,490.0,GLIDE,W,X3,240.0,85.0,28.223843923534325,490.0
X3,240.0,85.0,28.223843923534325,490.0,GLIDE,W,W3,220.0,80.0,30.723843923534325,490.0
W3,220.0,80.0,30.723843923534325,490.0,GLIDE-CRUISE,W,V3,210.0,75.0,33.39051059020099,489.5
V3,210.0,75.0,33.39051059020099,489.5,GLIDE-CRUISE,W,U3,200.0,70.0,36.24765344734384,489.0
U3,200.0,70.0,36.24765344734384,489.0,CLIMB,W,T3,220.0,90.0,38.469875669566065,487.0
T3,220.0,90.0,38.469875669566065,487.0,STEEP-CLIMB,W,S3,260.0,90.0,40.692097891788286,485.0
S3,260.0,90.0,40.692097891788286,485.0,GLIDE,W,R3,240.0,85.0,43.04503906825887,485.0
R3,240.0,85.0,43.04503906825887,485.0,GLIDE,W,Q3,220.0,80.0,45.54503906825887,485.0
Q3,220.0,80.0,45.54503906825887,485.0,GLIDE-CRUISE,W,P3,210.0,75.0,48.21170573492554,484.5
